name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
Los hermanos Salvador,1,2,6,1.775,Disney+,2022-03-23,2022-03-23,Returning Series,TRUE,0
High Incident,2,2,8.333,6.631,ABC,1996-03-04,1997-05-08,Ended,FALSE,430
Movies 101,1,2,7.5,0.673,AMC,2005-09-30,2005-12-23,Ended,FALSE,84
I Have A Script,1,2,6,1.4,Netflix,2019-05-06,2019-05-06,Returning Series,TRUE,0
The Worst of Evil,1,2,9,221.871,Disney+,2023-09-27,2023-09-27,Returning Series,TRUE,0
Homeland Security USA,1,2,10,0.6,ABC,2009-01-06,2009-09-06,Ended,FALSE,243
Devil's Advocate,1,2,10,3.853,Netflix,2023-07-13,2023-07-13,Ended,FALSE,0
Piñata Masters!,1,2,8.5,1.4,Netflix,2022-12-23,2022-12-23,Returning Series,TRUE,0
The Price Is Right at Night,5,2,7,11.372,CBS,2019-12-22,2023-10-02,Returning Series,TRUE,1380
Defining Moments with OZY,1,2,5,1.399,Hulu,2020-03-04,2020-11-21,Returning Series,TRUE,262
Pussycat Dolls Present,2,2,10,2.941,The CW,2007-03-06,2008-04-23,Ended,FALSE,414
Going to Extremes,1,1,7,14.056,ABC,1992-09-01,1993-01-27,Returning Series,TRUE,148
Shin Yakuza no Daimon,1,1,2,4.092,Netflix,2014-07-26,2014-09-13,Ended,FALSE,49
Ellen DeGeneres: Relatable,1,1,2,0.6,Netflix,2018-06-01,2018-06-08,Returning Series,TRUE,7
Nakia,1,1,5,1.561,ABC,1974-09-21,1974-12-28,Ended,FALSE,98
First Impressions,1,1,5,0.905,CBS,1988-08-27,1988-10-01,Ended,FALSE,35
The Fatal Flaw: A Special Edition of 20/20,1,1,5,1.093,ABC,2022-07-07,2022-08-06,Ended,FALSE,30
Jeopardy! National College Championship,1,1,7,1.4,ABC,2022-02-08,2022-02-22,Returning Series,TRUE,14
Dragamonz,1,1,9,8.239,Prime Video,2019-09-23,2020-03-30,Ended,FALSE,189
Hitam,1,1,2,0.79,Netflix,2021-06-19,2021-07-10,Ended,FALSE,21
Action in the Afternoon,1,1,5,44.667,CBS,1953-02-02,1954-01-29,Ended,FALSE,361
The Magic of David Copperfield,1,1,6,13.849,CBS,1978-10-27,2001-04-03,Ended,FALSE,8194
Judge Steve Harvey,2,1,7,3.24,ABC,2022-01-04,2023-08-16,Returning Series,TRUE,589
The American Baking Competition,1,1,5,0.827,CBS,2013-05-29,2013-07-10,Canceled,FALSE,42
Brewster Place,1,1,1,1.921,ABC,1990-05-01,1990-07-11,Ended,FALSE,71
Soprano: Sing or Die,1,1,2,2.954,Disney+,2022-06-15,2022-06-15,Returning Series,TRUE,0
Dundee and the Culhane,1,1,5,3.04,CBS,1967-09-06,1967-12-13,Ended,FALSE,98
Off the Rack,1,1,5,1.794,ABC,1985-03-15,1985-04-19,Ended,FALSE,35
Time Express,1,1,6,2.304,CBS,1979-04-26,1979-05-17,Ended,FALSE,21
Ultimate Beastmaster Brasil,3,1,2,0.629,Netflix,2017-02-24,2018-08-31,Canceled,FALSE,553
Pryor's Place,1,1,5,0.631,CBS,1984-09-22,1984-12-15,Ended,FALSE,84
The Brady Kids,2,1,5,7.615,ABC,1972-09-09,1973-10-06,Ended,FALSE,392
TV 101,1,1,5,21.025,CBS,1988-11-29,1989-03-25,Ended,FALSE,116
My Guys,1,1,10,2.824,CBS,1996-04-03,1996-04-10,Ended,FALSE,7
Jodi2,1,1,1,0.6,Prime Video,2021-01-12,2021-01-12,Returning Series,TRUE,0
The Van Dyke Show,1,1,5,1.21,CBS,1988-10-26,1988-12-07,Ended,FALSE,42
Goodtime Girls,1,1,5,2.197,ABC,1980-01-22,1980-08-29,Ended,FALSE,220
The Nancy Walker Show,1,1,5,3.248,ABC,1976-09-30,1977-07-11,Ended,FALSE,284
The Associates,1,1,5,3.072,ABC,1979-09-23,1980-04-17,Ended,FALSE,207
Just Our Luck,1,1,5,2.351,ABC,1983-09-20,1983-12-27,Ended,FALSE,98
Game of Talents,1,1,10,0.959,FOX,2021-03-10,2021-05-25,Returning Series,TRUE,76
Love of Life,3,1,5,163.556,CBS,1951-09-24,1980-02-01,Ended,FALSE,10357
Storefront Lawyers,1,1,5,7.33,CBS,1970-09-16,1971-04-14,Ended,FALSE,210
Studio 5-B,1,1,5,2.284,ABC,1989-01-24,1989-02-05,Canceled,FALSE,12
Benim Hâlâ Umudum Var,1,1,2,7.668,FOX,2013-07-01,2019-06-13,Ended,FALSE,2173
The Manhunter,1,1,5,32.453,CBS,1974-09-11,1975-03-12,Ended,FALSE,182
Struck by Lightning,1,1,5,1.672,CBS,1979-09-19,1979-10-17,Ended,FALSE,28
A Year at the Top,1,1,5,2.369,CBS,1977-08-05,1977-09-02,Ended,FALSE,28
Spin the Wheel,1,1,6,0.882,FOX,2019-06-20,2019-09-05,Returning Series,TRUE,77
Sunshine Eyes,1,1,2,0.798,Netflix,2023-01-15,2023-01-15,Returning Series,TRUE,0
Today's F.B.I.,1,1,5,11.815,ABC,1981-10-25,1982-04-26,Ended,FALSE,183
The Ride London to Beijing,1,1,6,0.6,Prime Video,2018-07-18,2018-07-25,Ended,FALSE,7
Soul Man,2,1,10,4.717,ABC,1997-04-15,1998-05-26,Ended,FALSE,406
Devlin,1,1,5,3.373,ABC,1974-09-07,1974-12-21,Ended,FALSE,105
Family Reboot,1,1,2,1.521,Disney+,2022-06-15,2022-06-15,Returning Series,TRUE,0
Date with the Angels,2,1,5,73.991,ABC,1957-05-10,1958-01-29,Ended,FALSE,264
Secrets of a Small Town,1,1,3,2.717,ABC,2007-01-26,2007-01-26,Canceled,FALSE,0
First Responders Live,1,1,7,1.815,FOX,2019-06-12,2019-09-11,Returning Series,TRUE,91
Code Red,1,1,5,5.449,ABC,1981-09-20,1982-07-11,Ended,FALSE,294
The Prank Panel,1,1,6,8.374,ABC,2023-05-24,2023-09-21,Returning Series,TRUE,120
The Celebrity Plastic Surgeons of Beverly Hills,1,1,2,0.6,Netflix,2016-01-01,2016-01-01,Returning Series,TRUE,0
Small & Frye,1,1,5,1.551,CBS,1983-03-07,1983-06-15,Ended,FALSE,100
Hearts Afire,3,1,10,12.64,CBS,1992-09-14,1995-02-01,Ended,FALSE,870
Greatest American Dog,1,1,10,0.689,CBS,2008-07-10,2008-09-10,Ended,FALSE,62
The ABC Saturday Superstar Movie,2,1,10,5.511,ABC,1972-09-09,1974-01-13,Ended,FALSE,491
Eat the World with Emeril Lagasse,1,1,7,1.492,Prime Video,2016-10-02,2016-10-02,Canceled,FALSE,0
The Wizard of Oz,1,1,6,2.984,ABC,1990-09-08,1990-12-01,Ended,FALSE,84
Hot Shots,1,1,5,0.714,CBS,1986-09-23,1986-12-23,Ended,FALSE,91
Family Bonds,1,1,2,0.84,HBO,2004-09-19,2005-12-16,Ended,FALSE,453
Chopper One,1,1,5,1.715,ABC,1974-01-17,1974-04-11,Ended,FALSE,84
Gabru: Hip Hop Revolution,1,1,2,11.738,Netflix,2018-06-01,2018-06-01,Ended,FALSE,0
The Boys of Twilight,1,1,5,0.974,CBS,1992-02-29,1992-02-29,Ended,FALSE,0
TRECX,1,1,5,1.4,Prime Video,2021-03-01,2021-03-01,Returning Series,TRUE,0
Where I Live,2,1,10,2.64,ABC,1993-03-05,1993-11-20,Ended,FALSE,260
Domicilio coatto,1,1,7,0.703,Prime Video,2020-06-01,2020-06-22,Returning Series,TRUE,21
Lava Ka Dhaava,1,1,2,2.788,Netflix,2021-05-05,2021-05-05,Returning Series,TRUE,0
The One That Got Away,1,1,2,2.647,Prime Video,2022-06-23,2022-06-23,Returning Series,TRUE,0
Cedric's Barber Battle,1,1,0.5,1.4,The CW,2015-04-17,2015-07-27,Canceled,FALSE,101
Who Wants to Be a Millionaire,1,1,9,2.893,ABC,2020-04-08,2020-06-04,Returning Series,TRUE,57
Geek,2,1,8,0.6,Prime Video,2018-06-05,2020-01-21,Canceled,FALSE,595
Jeopardy! Masters,1,1,8,3.059,ABC,2023-05-08,2023-05-24,Returning Series,TRUE,16
B.A.D. Cats,1,1,5,1.596,ABC,1980-01-04,1980-02-08,Ended,FALSE,35
Surviving Suburbia,1,1,3,2.032,ABC,2009-04-06,2009-08-07,Canceled,FALSE,123
Easy Money,1,1,6,3.349,The CW,2008-10-05,2009-08-16,Ended,FALSE,315
Then Came You,1,1,10,2.215,ABC,2000-03-22,2000-04-26,Canceled,FALSE,35
Crusade in Europe,1,1,8,11.525,ABC,1949-05-05,1949-10-27,Ended,FALSE,175
Movies That Shook the World,2,1,8,1.179,AMC,2005-09-09,2005-12-30,Ended,FALSE,112
Stone,1,1,6,7.538,ABC,1980-01-14,1980-03-31,Ended,FALSE,77
Kocamın Ailesi,2,1,3,21.526,FOX,2014-07-03,2015-11-11,Ended,FALSE,496
Hennesey,3,1,6,26.71,CBS,1959-09-28,1962-05-07,Ended,FALSE,952
Hail to the Chief,1,1,5,2.281,ABC,1985-04-09,1985-05-21,Ended,FALSE,42
Dangerous Curves,2,1,5,3.805,CBS,1992-02-26,1993-05-19,Ended,FALSE,448
Tennessee Tuxedo and His Tales,3,1,7,38.532,CBS,1963-09-28,1966-02-12,Ended,FALSE,868
Push,1,1,5,3.558,ABC,1998-04-06,1998-08-06,Ended,FALSE,122
Love Is a Many Splendored Thing,2,1,5,40.681,CBS,1967-09-18,1973-03-23,Ended,FALSE,2013
Ozark Jubilee,1,1,3,0.6,ABC,1955-01-22,1955-01-22,Ended,FALSE,0
Billy,1,1,5,1.327,CBS,1979-02-26,1979-04-28,Ended,FALSE,61
The Tammy Grimes Show,1,1,5,0.748,ABC,1966-09-08,1966-09-29,Returning Series,TRUE,21
Imperial Brazil,1,1,10,1.4,Prime Video,2020-11-10,2021-01-12,Returning Series,TRUE,63
Rafferty,1,1,5,1.611,CBS,1977-09-05,1977-12-05,Ended,FALSE,91
Million Dollar Mile,1,1,6,1.751,CBS,2019-03-21,2019-08-03,Canceled,FALSE,135
Calvin and the Colonel,1,1,5,9.915,ABC,1961-10-03,1962-05-31,Ended,FALSE,240
Lara,3,1,2,1.258,Netflix,2017-09-15,2021-01-24,Returning Series,TRUE,1227
Valiant Lady,3,1,5,21.438,CBS,1953-10-12,1957-08-16,Ended,FALSE,1404
Earth Star Voyager,1,1,5,2.015,ABC,1988-01-17,1988-01-24,Ended,FALSE,7
Leg Work,1,1,5,1.309,CBS,1987-10-03,1987-11-07,Ended,FALSE,35
The Roy Rogers and Dale Evans Show,1,1,5,0.969,ABC,1962-09-29,1962-12-22,Ended,FALSE,84
The Robert Guillaume Show,1,1,5,1.451,ABC,1989-04-05,1989-07-19,Ended,FALSE,105
Beyond the Edge,1,1,6,2.261,CBS,2022-03-16,2022-05-18,Canceled,FALSE,63
Hypnotize Me,1,1,1,0.6,The CW,2019-08-07,2019-09-25,Returning Series,TRUE,49
Hypernauts,1,1,7,2.342,ABC,1996-03-01,1996-04-13,Ended,FALSE,43
Slattery's People,2,1,5,40.805,CBS,1964-09-21,1965-11-26,Ended,FALSE,431
Jack's Place,2,1,10,5.044,ABC,1992-05-26,1993-07-13,Ended,FALSE,413
Oprah's Big Give,2,1,1,3.536,ABC,2008-03-02,2008-04-20,Ended,FALSE,49
The Clear Horizon,2,1,5,107.765,CBS,1960-07-11,1962-06-11,Ended,FALSE,700
Heat Vision and Jack,1,1,5,1.282,FOX,1999-01-01,1999-01-01,Pilot,FALSE,0
The New Odd Couple,1,1,5,6.803,ABC,1982-10-29,1983-05-26,Ended,FALSE,209
HITOSHI MATSUMOTO Presents FREEZE,2,1,8,0.932,Prime Video,2018-09-19,2020-07-10,Returning Series,TRUE,660
The Bachelor Winter Games,1,1,2,0.6,ABC,2018-02-13,2018-02-22,Returning Series,TRUE,9
Saiyo Sakato,1,1,2,1.045,Netflix,2020-01-16,2020-03-12,Ended,FALSE,56
It Takes Two,1,1,5,38.321,ABC,1982-10-14,1983-04-28,Ended,FALSE,196
Dérè: An African Tale,1,1,2,0.754,Netflix,2017-07-02,2017-08-06,Ended,FALSE,35
Mark Saber,4,1,7,7.84,ABC,1954-10-01,1957-11-13,Ended,FALSE,1139
Jonny Zero,1,1,1,4.198,FOX,2005-01-14,2005-03-04,Canceled,FALSE,49
Testers (Shorts),1,1,2,1.068,Disney+,2022-01-26,2022-06-15,Returning Series,TRUE,140
Stuck in Development,1,1,2,1.034,Prime Video,2022-07-25,2022-07-25,Returning Series,TRUE,0
Firehouse,1,1,5,2.056,ABC,1974-04-11,1974-04-11,Ended,FALSE,0
Paul Sand in Friends and Lovers,1,1,5,10.156,CBS,1974-09-14,1975-01-04,Ended,FALSE,112
Memet in the Kitchen,6,1,7,1.512,FOX,2016-09-26,2022-06-18,Returning Series,TRUE,2091
Ferhat ile Şirin,1,1,6,1.954,FOX,2019-11-22,2019-12-27,Canceled,FALSE,35
Blue Light,1,1,5,10.795,ABC,1966-01-12,1966-05-18,Ended,FALSE,126
My Little Margie,4,1,3,57.403,CBS,1952-06-16,1955-05-25,Ended,FALSE,1073
Voluntarios Shorts: Todo sea por la ciencia,1,1,2,0.6,Disney+,2022-01-19,2022-06-15,Returning Series,TRUE,147
Bizarre Murders,1,1,2,4.091,Netflix,2018-07-02,2019-06-24,Ended,FALSE,357
Netforce,1,1,5,2.888,ABC,1999-02-01,1999-02-01,Ended,FALSE,0
Free Enterprise,1,1,10,1.178,ABC,2021-04-04,2021-06-05,Returning Series,TRUE,62
Pirate Master,1,1,7,1.4,CBS,2007-05-31,2007-08-28,Ended,FALSE,89
Faceless,1,1,1,3.131,FOX,2006-03-22,2006-03-22,Canceled,FALSE,0
NYC Epicenters 9/11➔2021½,1,1,7,1.715,HBO,2021-08-22,2021-09-11,Ended,FALSE,20
Power Trip: Those Who Seek Power and Those Who Chase Them,1,1,2,1.229,Hulu,2022-09-25,2022-11-10,Returning Series,TRUE,46
37 Words,1,1,2,0.911,Hulu,2022-06-21,2022-06-28,Returning Series,TRUE,7
Academy Dreams: Leeds United,1,1,2,0.6,Prime Video,2022-09-23,2022-09-23,Returning Series,TRUE,0
Red Planet,1,1,6,1.4,FOX,1994-05-14,1994-05-28,Ended,FALSE,14
Mussolini: The Decline and Fall of Il Duce,1,1,6,1.848,HBO,1985-09-08,1985-09-09,Ended,FALSE,1
Open House,1,1,5,10.336,FOX,1989-08-27,1990-05-05,Ended,FALSE,251
Khan!,1,1,5,2.369,CBS,1975-02-07,1975-02-28,Ended,FALSE,21
The Ultimatum: Queer Love,1,1,7,7.369,Netflix,2023-05-24,2023-06-07,Returning Series,TRUE,14
Love Village,1,1,7,3.499,Netflix,2023-05-02,2023-05-30,Returning Series,TRUE,28
500 Questions,2,1,7,0.713,ABC,2015-05-20,2016-06-01,Returning Series,TRUE,378
The Man and the City,1,1,5,1.85,ABC,1971-09-15,1971-12-29,Ended,FALSE,105
This Week in Baseball,1,1,8,9.125,FOX,1977-04-01,2005-10-01,Ended,FALSE,10410
The Governor & J.J.,2,1,5,1.156,CBS,1969-09-23,1970-09-16,Ended,FALSE,358
Hippodrome,1,1,2,0.621,CBS,1966-07-05,1966-09-06,Ended,FALSE,63
Ichabod and Me,1,1,5,21.102,CBS,1961-09-26,1962-06-05,Ended,FALSE,252
Dancing on the Grave,1,1,2,1.877,Prime Video,2023-04-21,2023-04-21,Returning Series,TRUE,0
The Gallant Men,1,1,6,20.7,ABC,1962-10-05,1963-06-01,Ended,FALSE,239
After Forever,2,1,9,8.693,Prime Video,2018-04-24,2019-12-31,Returning Series,TRUE,616
Married People,1,1,5,2.701,ABC,1990-09-18,1991-03-16,Ended,FALSE,179
Raising Miranda,1,1,5,2.22,CBS,1988-11-05,1988-12-31,Ended,FALSE,56
2000 Malibu Road,1,1,6.5,5.48,CBS,1992-08-23,1992-09-09,Ended,FALSE,17
I've Got a Secret,15,1,9,232.068,CBS,1952-06-19,1967-04-03,Canceled,FALSE,5401
Sento Ancora la Vertigine,1,1,2,1.205,Prime Video,2023-02-20,2023-02-20,Ended,FALSE,0
Eleanor and Franklin,1,1,5,2.582,ABC,1976-01-11,1976-01-12,Ended,FALSE,1
Brenner,2,1,5,2.794,CBS,1959-06-06,1964-07-19,Ended,FALSE,1870
In An Instant,3,1,10,2.041,ABC,2015-03-06,2017-06-10,Returning Series,TRUE,827
Free Ride,1,1,9,2.613,FOX,2006-03-01,2006-04-09,Canceled,FALSE,39
Riker,1,1,5,2.611,CBS,1981-03-14,1981-04-11,Ended,FALSE,28
Nella scatola nera,2,1,3,0.93,Prime Video,2019-11-25,2020-10-15,Returning Series,TRUE,325
FBI: The Untold Stories,2,1,9,36.142,ABC,1991-09-26,1993-05-24,Ended,FALSE,606
Three for the Road,1,1,5,2.534,CBS,1975-09-04,1975-11-30,Ended,FALSE,87
Trivia Trap,1,1,10,1.4,ABC,1984-10-08,1984-11-29,Returning Series,TRUE,52
Knightwatch,1,1,5,1.007,ABC,1988-11-11,1989-01-19,Ended,FALSE,69
Top of the Hill,1,1,5,1.007,CBS,1989-09-21,1989-11-30,Ended,FALSE,70
DRISHTIBHRAM,1,1,9,1.173,Prime Video,2019-05-14,2019-05-14,Returning Series,TRUE,0
A.J.'s Time Travelers,1,1,3,2.821,FOX,1995-09-09,1995-11-12,Returning Series,TRUE,64
A Rumor of War,1,1,6,3.511,CBS,1980-09-24,1980-09-25,Ended,FALSE,1
Markham,2,1,5,6.301,CBS,1959-05-02,1959-12-05,Ended,FALSE,217
Don't Forget the Lyrics!,2,1,4,4.045,FOX,2007-07-11,2008-09-12,Canceled,FALSE,429
Love on a Rooftop,1,1,5,16.747,ABC,1966-09-06,1967-04-06,Ended,FALSE,212
Baby Makes Five,1,1,5,0.968,ABC,1983-04-01,1983-04-29,Ended,FALSE,28
The Double Life of Henry Phyfe,1,1,5,14.343,ABC,1966-01-13,1966-05-05,Ended,FALSE,112
Eisenhower and Lutz,1,1,0,1.456,CBS,1988-03-14,1988-06-20,Ended,FALSE,98
Daily Fables,1,1,2,2.451,Netflix,2019-04-19,2019-04-19,Returning Series,TRUE,0
The New Steve Allen Show,1,1,8,1.132,ABC,1961-09-27,1961-12-06,Ended,FALSE,70
The Undertakers,1,1,8,0.6,Prime Video,2016-11-29,2016-11-29,Ended,FALSE,0
The Adventures of Clint and Mac,1,1,6,2.744,ABC,1957-12-31,1958-01-17,Ended,FALSE,17
"Goodnight, Beantown",2,1,5,2.347,CBS,1983-04-03,1984-01-15,Ended,FALSE,287
Jigsaw,1,1,5,1.359,ABC,1972-10-12,1973-03-03,Ended,FALSE,142
Arrest and Trial,1,1,5,29.73,ABC,1963-09-15,2000-11-06,Ended,FALSE,13567
Going My Way,1,1,5,34.654,ABC,1962-10-03,1963-04-24,Ended,FALSE,203
Concrete Cowboys,1,1,5,1.213,CBS,1981-02-07,1981-03-21,Ended,FALSE,42
Donnie Speciaal,1,1,2,0.6,Prime Video,2022-07-14,2022-07-14,Ended,FALSE,0
Hotties,1,1,2,1.725,Hulu,2022-08-16,2022-08-16,Returning Series,TRUE,0
"The Long, Hot Summer",1,1,5,30.751,ABC,1965-09-16,1966-04-13,Ended,FALSE,209
The Redd Foxx Show,1,1,5,2.209,ABC,1986-01-18,1986-04-19,Ended,FALSE,91
Alcoa Premiere,2,1,5,5.438,ABC,1961-10-10,1963-04-25,Ended,FALSE,562
The Greatest Show on Earth,1,1,5,21.387,ABC,1963-09-17,1964-04-28,Ended,FALSE,224
The Asphalt Jungle,1,1,5,2.959,ABC,1961-04-02,1961-06-25,Ended,FALSE,84
30 Seconds to Fame,1,1,2,0.6,FOX,2002-07-17,2003-06-19,Ended,FALSE,337
Little Amy,1,1,10,1.4,CBS,1962-01-01,1962-01-01,Ended,FALSE,0
Treasury Men in Action,5,1,5,71.115,ABC,1950-09-11,1955-07-01,Ended,FALSE,1754
The Man Behind the Badge,2,1,5,63.518,CBS,1953-10-11,1958-08-13,Ended,FALSE,1767
Angie,2,1,5,7.943,ABC,1979-02-08,1980-10-02,Ended,FALSE,602
The Walter Winchell File,2,1,5,57.145,ABC,1957-10-02,1958-03-28,Ended,FALSE,177
True Colors,2,1,10,7.307,FOX,1990-09-02,1992-04-12,Ended,FALSE,588
Payne,1,1,1,2.957,CBS,1999-03-15,1999-04-28,Ended,FALSE,44
Little Baby Bum: Music Time,1,1,7,13.157,Netflix,2023-09-25,2023-09-25,Returning Series,TRUE,0
The Lazarus Syndrome,1,1,5,1.383,ABC,1979-09-04,1979-10-02,Canceled,FALSE,28
Hogie the Globehopper,1,1,2,0.958,Netflix,2017-08-17,2017-08-17,Returning Series,TRUE,0
"Sabrina, The Teenage Witch",3,1,10,6.996,CBS,1969-09-13,1972-12-16,Ended,FALSE,1190
All's Fair,1,1,5,38.564,CBS,1976-09-20,1977-05-30,Ended,FALSE,252
Flying Blind,1,1,8,4.843,FOX,1992-09-13,1993-05-02,Ended,FALSE,231
Fantastic Voyage,1,1,6,5.315,ABC,1968-09-17,1969-01-04,Ended,FALSE,109
Lush Life,1,1,10,2.154,FOX,1996-09-09,1996-09-30,Ended,FALSE,21
Clubhouse,1,1,3,3.77,CBS,2004-09-26,2004-11-06,Ended,FALSE,41
Hootenanny,2,1,3,1.145,ABC,1963-04-06,1964-09-12,Ended,FALSE,525
Ali Ayşe'yi Seviyor,1,1,3,1.596,FOX,2013-01-27,2013-06-02,Canceled,FALSE,126
The Thorns,1,1,6,1.472,ABC,1988-01-15,1988-03-11,Ended,FALSE,56
General Electric Theater,10,1,5,15.087,CBS,1953-02-01,1962-06-03,Ended,FALSE,3409
"Divorce His, Divorce Hers",1,1,5,2.549,ABC,1973-02-06,1973-02-07,Ended,FALSE,1
Really,1,1,1,2.903,Prime Video,2014-08-28,2014-08-28,Canceled,FALSE,0
To Have & to Hold,1,1,10,2.333,CBS,1998-09-30,1998-12-09,Ended,FALSE,70
The Lot,2,1,0.5,2.01,AMC,1999-08-19,2001-04-22,Ended,FALSE,612
This Is Tom Jones,3,1,6,12.648,ABC,1969-02-07,1971-01-15,Ended,FALSE,707
Maximum Security,1,1,5,1.4,HBO,1984-07-03,1985-03-05,Ended,FALSE,245
West Point,1,1,5,36.18,CBS,1956-10-05,2007-05-31,Ended,FALSE,18500
Get Christie Love!,1,1,8,22.14,ABC,1974-01-22,1975-04-04,Ended,FALSE,437
Sylvanian Families,4,1,10,2.089,ABC,2018-11-01,2018-11-01,Returning Series,TRUE,0
a.k.a. Pablo,1,1,5,0.958,ABC,1984-03-06,1984-04-10,Ended,FALSE,35
Greatest Hits,1,1,5,1.135,ABC,2016-06-30,2016-08-04,Returning Series,TRUE,35
American Dream,1,1,5,1.968,ABC,1981-04-26,1981-06-10,Returning Series,TRUE,45
Blue Skies,1,1,5,1.218,CBS,1988-06-13,1988-08-01,Ended,FALSE,49
Gus Plus Us,1,1,2,0.773,Prime Video,2022-09-01,2022-09-01,Returning Series,TRUE,0
Tough Cookies,1,1,5,1.838,CBS,1986-03-05,2011-08-28,Ended,FALSE,9307
The Fitzpatricks,1,1,5,1.547,CBS,1977-09-05,1978-01-10,Ended,FALSE,127
Telephone Time,3,1,6,28.952,CBS,1956-04-08,1958-04-01,Ended,FALSE,723
Für Umme,1,1,8,0.84,Prime Video,2018-01-18,2018-03-29,Returning Series,TRUE,70
Maximum Bob,1,1,7,2.429,ABC,1998-08-04,1998-09-15,Ended,FALSE,42
Detective School,2,1,5,3.29,ABC,1979-07-31,1979-11-24,Ended,FALSE,116
The Super,2,1,5,0.775,ABC,1972-06-21,2012-12-14,Returning Series,TRUE,14786
Level Playing Field,1,1,5,1.09,HBO,2021-09-14,2021-10-05,Ended,FALSE,21
The Osmonds,1,1,5,5.247,ABC,1972-09-09,1972-12-30,Ended,FALSE,112
The Bounce Family,2,1,2,0.6,Netflix,2021-03-06,2021-03-06,Returning Series,TRUE,0
The Charmings,2,1,5,8.282,ABC,1987-03-20,1988-02-11,Canceled,FALSE,328
The Thorn Birds: The Missing Years,1,1,7,0.894,CBS,1996-02-11,1996-02-13,Ended,FALSE,2
Strange World,2,1,8,7.409,ABC,1999-03-08,2002-05-10,Ended,FALSE,1159
Jackie Gleason and His American Scene Magazine,4,1,5,154.115,CBS,1962-09-29,1966-05-07,Ended,FALSE,1316
Caribe,1,1,5,3.424,ABC,1975-02-17,1975-05-12,Ended,FALSE,84
The Silver Brumby,3,1,8,2.91,ABC,1994-10-29,1998-09-17,Ended,FALSE,1419
Def Poetry,6,1,10,1.687,HBO,2002-01-18,2007-03-02,Ended,FALSE,1869
Sıkı Dostlar,1,1,6,5.284,FOX,2009-02-21,2009-07-25,Canceled,FALSE,154
No-Go Zones - The World's Toughest Places,1,1,9,1.305,Prime Video,2019-11-30,2019-11-30,Ended,FALSE,0
Danger,5,1,10,8.876,CBS,1950-09-26,1955-05-31,Ended,FALSE,1708
Voices of Liberation,1,1,2,3.157,Netflix,2022-05-02,2022-05-02,Ended,FALSE,0
Sons & Daughters,1,1,5,1.823,ABC,2006-03-07,2006-04-04,Ended,FALSE,28
Diagnosis: Unknown,1,1,5,1.505,CBS,1960-07-05,1960-09-20,Ended,FALSE,77
The Hollywood Masters,1,1,2,0.913,Netflix,2017-08-01,2017-08-01,Returning Series,TRUE,0
Making the Grade,1,1,5,1.703,CBS,1982-04-05,1982-05-10,Ended,FALSE,35
MDs,1,1,10,3.633,ABC,2002-09-25,2002-12-11,Canceled,FALSE,77
No Time for Sergeants,1,1,1,36.925,ABC,1964-09-14,1965-05-03,Ended,FALSE,231
Comedy Island Indonesia,1,1,10,4.964,Prime Video,2023-11-09,2023-11-09,Returning Series,TRUE,0
Mandy und die Mächte des Bösen,1,1,0.5,4.85,Prime Video,2023-11-03,2023-11-03,Returning Series,TRUE,0
Coin Digger,1,1,10,34.682,Prime Video,2023-11-02,2023-11-09,Returning Series,TRUE,7
Trust Us with Your Life,1,1,10,2.22,ABC,2012-07-10,2012-08-07,Canceled,FALSE,28
Far Out Space Nuts,1,1,5,2.99,CBS,1975-09-06,1975-12-11,Ended,FALSE,96
The Daytime Emmy Awards,46,1,10,2.834,CBS,1974-05-28,2022-06-24,Returning Series,TRUE,17559
Evlilik Hakkında Her Şey,1,1,10,7.1,FOX,2021-09-21,2022-05-31,Ended,FALSE,252
Shaq Vs.,2,1,9,2.021,ABC,2009-08-18,2010-08-31,Ended,FALSE,378
Detective in the House,1,1,5,2.895,CBS,1985-03-15,1985-04-19,Ended,FALSE,35
Princesses,1,1,10,1.29,CBS,1991-09-27,1991-10-25,Ended,FALSE,28
Hip Hop: The Songs That Shook America,1,1,8,1.422,AMC,2019-10-13,2019-11-17,Ended,FALSE,35
Delta House,1,1,6,4.816,ABC,1979-01-16,1979-04-21,Ended,FALSE,95
Hidden Heroes,3,1,10,1.249,CBS,2015-10-03,2015-10-31,Returning Series,TRUE,28
ANNA: STATUS,1,1,2,1.226,Prime Video,2022-04-29,2022-04-29,Returning Series,TRUE,0
35 Serial Killers the World Wants to Forget,1,1,6,0.6,Prime Video,2018-07-01,2018-09-23,Returning Series,TRUE,84
Damon,1,1,10,4.323,FOX,1998-03-22,1998-07-20,Canceled,FALSE,120
A New Kind of Family,1,1,5,2.846,ABC,1979-09-16,1979-12-29,Ended,FALSE,104
Crime Files the Homefront,1,1,2,2.302,Netflix,2016-06-01,2016-06-01,Returning Series,TRUE,0
Tom’s Paint Shop,1,1,2,0.891,Prime Video,2020-10-05,2020-10-05,Returning Series,TRUE,0
Wolfpack,1,1,2,1.952,Prime Video,2023-03-17,2023-03-17,Ended,FALSE,0
Nurse,2,1,5,24.653,CBS,1981-04-02,1982-05-21,Ended,FALSE,414
Just in Time,1,1,5,1.426,ABC,1988-04-06,1988-05-11,Ended,FALSE,35
