name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
The Boss Baby: Back in Business,4,1687,7.043,29.195,Netflix,2018-04-06,2020-11-17,Ended,FALSE,956
I Am Not Okay with This,1,1667,8.107,16.7,Netflix,2020-02-26,2020-02-26,Canceled,FALSE,0
Alice in Borderland,3,1666,8.192,65.062,Netflix,2020-12-10,2022-12-22,Returning Series,TRUE,742
Altered Carbon,2,1658,7.713,41.052,Netflix,2018-02-02,2020-02-27,Canceled,FALSE,755
Marvel's Agent Carter,2,1645,7.535,30.075,ABC,2015-01-06,2016-03-01,Canceled,FALSE,420
True Blood,7,1641,7.624,97.614,HBO,2008-09-07,2014-08-24,Ended,FALSE,2177
Castle,8,1632,8.012,200.476,ABC,2009-03-09,2016-05-16,Canceled,FALSE,2625
Desperate Housewives,8,1628,7.929,220.205,ABC,2004-10-03,2012-05-13,Ended,FALSE,2779
Scream Queens,2,1609,7.899,33.148,FOX,2015-09-22,2016-12-20,Canceled,FALSE,455
Marvel's Luke Cage,2,1574,6.962,25.862,Netflix,2016-09-30,2018-06-22,Canceled,FALSE,630
Never Have I Ever,4,1557,8.161,80.546,Netflix,2020-04-27,2023-06-08,Ended,FALSE,1137
Insatiable,2,1542,7.82,34.648,Netflix,2018-08-10,2019-10-11,Canceled,FALSE,427
Selena: The Series,1,1542,7.509,20.672,Netflix,2020-12-04,2021-05-04,Ended,FALSE,151
Ghost Whisperer,5,1541,8.088,239.308,CBS,2005-09-23,2010-05-21,Canceled,FALSE,1701
Hawaii Five-0,10,1526,7.729,853.839,CBS,2010-09-20,2020-04-03,Ended,FALSE,3483
Record of Ragnarok,2,1499,8.513,74.289,Netflix,2021-06-17,2023-07-12,Returning Series,TRUE,755
The Last Kingdom,5,1485,8.29,143.794,Netflix,2015-10-10,2022-03-09,Ended,FALSE,2342
Person of Interest,5,1483,8.1,256.541,CBS,2011-09-22,2016-06-21,Ended,FALSE,1734
"Love, Victor",3,1478,8.63,30.431,Hulu,2020-06-17,2022-06-15,Ended,FALSE,728
Elementary,7,1465,7.572,118.919,CBS,2012-09-27,2019-08-15,Ended,FALSE,2513
CSI: Miami,10,1461,7.755,136.608,CBS,2002-09-23,2012-04-08,Ended,FALSE,3485
The Rookie,5,1431,8.272,268.73,ABC,2018-10-16,2023-05-02,Returning Series,TRUE,1659
How to Get Away with Murder,6,1429,7.88,217.287,ABC,2014-09-25,2020-05-14,Ended,FALSE,2058
Batwoman,3,1428,7.043,27.381,The CW,2019-10-06,2022-03-02,Canceled,FALSE,878
Sense8,2,1407,7.8,27.998,Netflix,2015-06-05,2018-06-08,Canceled,FALSE,1099
Lost in Space,3,1402,7.575,68.659,Netflix,2018-04-13,2021-12-01,Ended,FALSE,1328
Ginny & Georgia,4,1397,8.1,46.911,Netflix,2021-02-24,2023-01-05,Returning Series,TRUE,680
Batman: The Animated Series,4,1392,8.512,206.515,FOX,1992-09-05,1995-09-15,Ended,FALSE,1105
Silicon Valley,6,1379,8.132,47.548,HBO,2014-04-06,2019-12-08,Ended,FALSE,2072
Obi-Wan Kenobi,1,1378,7.2,47.734,Disney+,2022-05-26,2022-06-22,Ended,FALSE,27
2 Broke Girls,6,1374,7.173,294.455,CBS,2011-09-19,2017-04-17,Canceled,FALSE,2037
Cosmos,2,1370,8.444,39.031,FOX,2014-03-09,2020-04-20,Ended,FALSE,2234
SEAL Team,7,1353,8.036,306.638,CBS,2017-09-27,2022-11-20,Returning Series,TRUE,1880
Station 19,6,1353,8.253,100.372,ABC,2018-03-22,2023-05-18,Returning Series,TRUE,1883
The Gifted,2,1350,7.684,86.44,FOX,2017-10-02,2019-02-26,Canceled,FALSE,512
24,9,1330,7.792,146.589,FOX,2001-11-06,2014-07-14,Ended,FALSE,4633
Monsters at Work,1,1329,7.178,23.609,Disney+,2021-07-07,2021-09-01,Returning Series,TRUE,56
Lie to Me,3,1313,7.935,114.717,FOX,2009-01-21,2011-01-31,Canceled,FALSE,740
Fate: The Winx Saga,2,1302,8.172,39.946,Netflix,2021-01-22,2022-09-16,Canceled,FALSE,602
Big Little Lies,2,1286,7.918,18.466,HBO,2017-02-19,2019-07-21,Ended,FALSE,882
11.22.63,1,1282,7.768,28.261,Hulu,2016-02-15,2016-04-04,Ended,FALSE,49
Traveling with the Derbez,3,1275,7.463,18.028,Prime Video,2019-10-18,2023-04-21,Returning Series,TRUE,1281
The Outsider,1,1266,7.384,22.222,HBO,2020-01-12,2020-03-08,Ended,FALSE,56
That '70s Show,8,1253,7.989,168.075,FOX,1998-08-23,2006-05-18,Ended,FALSE,2825
Marvel's The Defenders,1,1246,7.084,18.916,Netflix,2017-08-18,2017-08-18,Ended,FALSE,0
Tom Clancy's Jack Ryan,4,1241,7.717,121.507,Prime Video,2018-08-30,2023-07-13,Ended,FALSE,1778
Sweet Tooth,3,1237,7.892,50.375,Netflix,2021-06-04,2023-04-27,Returning Series,TRUE,692
New Girl,7,1231,7.354,76.794,FOX,2011-09-20,2018-05-15,Ended,FALSE,2429
S.W.A.T.,6,1225,8.122,420.779,CBS,2017-11-02,2023-05-19,Returning Series,TRUE,2024
Shadow and Bone,2,1203,7.994,37.868,Netflix,2021-04-23,2023-03-16,Returning Series,TRUE,692
Sex/Life,2,1200,7.138,124.145,Netflix,2021-06-25,2023-03-02,Canceled,FALSE,615
Watchmen,1,1192,7.715,24.849,HBO,2019-10-20,2019-12-15,Ended,FALSE,56
Daughter from Another Mother,3,1185,7.611,22.14,Netflix,2021-01-20,2022-12-25,Ended,FALSE,704
Arrested Development,5,1173,8,61.571,FOX,2003-11-02,2019-03-15,Ended,FALSE,5612
BAKI,2,1167,8.135,148.824,Netflix,2018-06-26,2020-06-04,Ended,FALSE,709
Narcos: Mexico,3,1160,7.939,47.476,Netflix,2018-11-16,2021-11-05,Ended,FALSE,1085
Emily in Paris,4,1152,7.775,33.659,Netflix,2020-10-02,2022-12-21,Returning Series,TRUE,810
The Resident,6,1152,8.5,81.374,FOX,2018-01-21,2023-01-17,Canceled,FALSE,1822
Who Killed Sara?,3,1132,7.638,18.157,Netflix,2021-03-24,2022-05-18,Ended,FALSE,420
The Rain,3,1113,7.342,46.773,Netflix,2018-05-04,2020-08-06,Ended,FALSE,825
Only Murders in the Building,4,1110,8.5,177.857,Hulu,2021-08-31,2023-09-26,Returning Series,TRUE,756
Locke & Key,3,1104,7.903,27.017,Netflix,2020-02-07,2022-08-10,Ended,FALSE,915
Mare of Easttown,1,1100,8.275,26.577,HBO,2021-04-18,2021-05-30,Ended,FALSE,42
Warrior Nun,2,1098,8.089,38.392,Netflix,2020-07-02,2022-11-10,Canceled,FALSE,861
The Man in the High Castle,4,1092,7.5,43.583,Prime Video,2015-01-15,2019-11-15,Ended,FALSE,1765
Rome,2,1090,8.263,41.581,HBO,2005-08-28,2007-03-25,Canceled,FALSE,574
Castlevania,4,1082,8.266,75.852,Netflix,2017-07-07,2021-05-13,Ended,FALSE,1406
Sweet Home,2,1059,8.433,30.864,Netflix,2020-12-18,2020-12-18,Returning Series,TRUE,0
NCIS: Los Angeles,14,1053,7.563,505.964,CBS,2009-09-22,2023-05-21,Ended,FALSE,4989
CSI: Crime Scene Investigation,15,1051,7.667,851.572,CBS,2000-10-06,2015-02-15,Ended,FALSE,5245
Carnival Row,2,1050,7.812,34.433,Prime Video,2019-08-29,2023-03-16,Ended,FALSE,1295
Heartstopper,3,1044,8.67,80.855,Netflix,2022-04-22,2023-08-03,Returning Series,TRUE,468
The Walking Dead: World Beyond,2,1043,7.53,45.692,AMC,2020-10-04,2021-12-05,Ended,FALSE,427
DC's Stargirl,3,1035,7.786,48.136,The CW,2020-05-18,2022-12-07,Canceled,FALSE,933
Mad Men,7,1023,8.105,43.057,AMC,2007-07-19,2015-05-17,Ended,FALSE,2859
The OA,2,1019,7.599,24.893,Netflix,2016-12-16,2019-03-22,Canceled,FALSE,826
The Tom and Jerry Show,1,1018,7.682,83.281,ABC,1975-09-06,1975-12-13,Canceled,FALSE,98
X-Men,5,1018,8.19,48.038,FOX,1992-10-31,1997-09-20,Ended,FALSE,1785
Preacher,4,1009,7.48,47.659,AMC,2016-05-22,2019-09-29,Ended,FALSE,1225
1899,1,1007,7.644,37.824,Netflix,2022-11-17,2022-11-17,Canceled,FALSE,0
The Nanny,6,1006,8.124,120.553,CBS,1993-11-03,1999-06-23,Ended,FALSE,2058
Cyberpunk: Edgerunners,1,1004,8.589,41.81,Netflix,2022-09-13,2022-09-13,Ended,FALSE,0
Upload,3,994,8,38.364,Prime Video,2020-04-30,2022-03-10,Returning Series,TRUE,679
Ratched,1,989,7.75,16.188,Netflix,2020-09-18,2020-09-18,Ended,FALSE,0
The Orville,3,975,7.6,83.005,FOX,2017-09-10,2022-08-04,Returning Series,TRUE,1789
Trollhunters: Tales of Arcadia,3,973,8.453,144.248,Netflix,2016-12-23,2018-05-25,Ended,FALSE,518
"Sabrina, the Teenage Witch",7,971,7.863,529.799,ABC,1996-09-27,2003-04-24,Ended,FALSE,2400
Atypical,4,965,8.183,61.42,Netflix,2017-08-11,2021-07-09,Ended,FALSE,1428
9-1-1: Lone Star,4,962,8.1,206.802,FOX,2020-01-19,2023-05-16,Returning Series,TRUE,1213
The Haunting of Bly Manor,1,955,7.668,20.82,Netflix,2020-10-09,2020-10-09,Ended,FALSE,0
Big Mouth,7,939,7.8,50.654,Netflix,2017-09-29,2022-10-28,Returning Series,TRUE,1855
Young Royals,3,935,8.626,28.037,Netflix,2021-07-01,2022-11-01,Returning Series,TRUE,488
Full House,8,934,7.57,144.052,ABC,1987-09-22,1995-05-23,Ended,FALSE,2800
Ms. Marvel,1,922,6.559,26.847,Disney+,2022-06-08,2022-07-13,Ended,FALSE,35
Spider-Man,5,918,8.3,40.566,FOX,1994-11-19,1998-01-31,Canceled,FALSE,1169
Disenchantment,3,917,7.51,78.979,Netflix,2018-08-17,2023-09-01,Ended,FALSE,1841
Sleepy Hollow,4,917,7.4,34.277,FOX,2013-09-16,2017-03-31,Canceled,FALSE,1292
Miracle Doctor,2,915,8.063,160.531,FOX,2019-09-12,2021-05-27,Ended,FALSE,623
Ragnarok,3,914,7.929,68.631,Netflix,2020-01-31,2023-08-24,Ended,FALSE,1301
Boardwalk Empire,5,908,7.991,36.974,HBO,2010-09-19,2014-10-26,Ended,FALSE,1498
Shadowhunters,3,902,7.579,152.284,Netflix,2016-01-12,2019-05-06,Ended,FALSE,1210
The Great,3,898,8.17,41.573,Hulu,2020-05-15,2023-05-12,Canceled,FALSE,1092
Dinosaurs,4,889,7.779,82.616,ABC,1991-04-26,1994-10-19,Ended,FALSE,1272
Married... with Children,11,883,7.7,587.852,FOX,1987-04-05,1997-06-09,Ended,FALSE,3718
The Wonder Years,6,878,8.363,408.553,ABC,1988-01-31,1993-05-12,Ended,FALSE,1928
The Night Of,1,875,7.966,18.246,HBO,2016-07-10,2016-08-28,Ended,FALSE,49
The House of Flowers,3,862,7.8,16.551,Netflix,2018-08-10,2020-04-23,Ended,FALSE,622
Kung Fu Panda: The Paws of Destiny,2,861,7.2,15.91,Prime Video,2018-11-15,2019-07-05,Returning Series,TRUE,232
Kingdom,2,860,8.292,27.718,Netflix,2019-01-25,2020-03-13,Ended,FALSE,413
Cursed,1,858,7.274,19.93,Netflix,2020-07-16,2020-07-16,Canceled,FALSE,0
The Leftovers,3,857,7.6,23.468,HBO,2014-06-29,2017-06-04,Ended,FALSE,1071
The Boarding School: Las Cumbres,3,850,7.532,34.943,Prime Video,2021-02-19,2023-04-06,Ended,FALSE,776
Star Wars: Andor,1,843,8.2,60.525,Disney+,2022-09-21,2022-11-23,Returning Series,TRUE,63
MacGyver,5,840,7.323,100.462,CBS,2016-09-23,2021-04-30,Canceled,FALSE,1680
Succession,4,833,8.244,65.987,HBO,2018-06-03,2023-05-28,Ended,FALSE,1820
Designated Survivor,3,821,7.182,60.985,ABC,2016-09-21,2019-06-07,Canceled,FALSE,989
Marvel's Runaways,3,818,7.468,39.48,Hulu,2017-11-21,2019-12-13,Ended,FALSE,752
Dynasty,5,816,8.151,48.46,The CW,2017-10-11,2022-09-16,Canceled,FALSE,1801
Six Feet Under,5,816,8.115,44.91,HBO,2001-06-03,2005-08-21,Ended,FALSE,1540
Star Wars: The Bad Batch,2,808,8.285,68.1,Disney+,2021-05-04,2023-03-29,Returning Series,TRUE,694
Bob's Burgers,14,807,7.9,894.596,FOX,2011-01-09,2023-10-01,Returning Series,TRUE,4648
Black Lightning,4,797,7.091,31.776,The CW,2018-01-16,2021-05-24,Ended,FALSE,1224
Reacher,1,795,8.034,113.485,Prime Video,2022-02-03,2022-02-03,Returning Series,TRUE,0
My Holo Love,1,791,8.546,17.437,Netflix,2020-02-07,2020-02-07,Ended,FALSE,0
The Flintstones,6,789,7.363,64.834,ABC,1960-09-30,1966-04-01,Ended,FALSE,2009
The Peripheral,1,789,7.918,66.535,Prime Video,2022-10-20,2022-12-01,Canceled,FALSE,42
Girl from Nowhere,2,785,8.526,42.191,Netflix,2018-10-27,2021-05-07,Ended,FALSE,923
Terminator: The Sarah Connor Chronicles,2,783,7.558,79.306,FOX,2008-01-13,2009-04-10,Canceled,FALSE,453
The Twilight Zone,5,780,8.472,344.834,CBS,1959-10-02,1964-06-19,Ended,FALSE,1722
Jane the Virgin,5,777,8,324.456,The CW,2014-10-13,2019-07-31,Ended,FALSE,1752
Tales from the Crypt,7,775,7.961,35.609,HBO,1989-06-10,1996-07-19,Ended,FALSE,2596
Hellbound,2,775,7.465,30.608,Netflix,2021-11-19,2021-11-19,Returning Series,TRUE,0
The Order,2,762,7.771,38.974,Netflix,2019-03-07,2020-06-18,Canceled,FALSE,469
A Series of Unfortunate Events,3,761,7.348,52.772,Netflix,2017-01-13,2019-01-01,Ended,FALSE,718
The Midnight Gospel,1,756,8.318,18.161,Netflix,2020-04-20,2020-04-20,Canceled,FALSE,0
The Last Man on Earth,4,753,6.899,136.577,FOX,2015-03-01,2018-05-06,Canceled,FALSE,1162
Resident Evil: Infinite Darkness,1,753,7.747,23.849,Netflix,2021-07-08,2021-07-08,Ended,FALSE,0
American Horror Stories,3,753,7.9,61.692,Hulu,2021-07-15,2022-09-08,Returning Series,TRUE,420
